index,idx_generation,best_solution,initial_xg,best_xG
628,31,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,32,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,33,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,34,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,35,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,36,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 112.31320423157926
 50.482729874206704]",0.07942085,[0.19317539]
628,37,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,38,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,39,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,40,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,41,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,42,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,43,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,44,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,45,"[111.0 40.93587480838928 106.36344090275583 43.61844718278512
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.20886466941256 46.430042742017456 111.30460702231886 53.99071283104468]",0.07942085,[0.19319032]
628,46,"[111.0 40.93587480838928 109.43542273040624 45.43514892240621
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.36071003405084 46.430042742017456 112.31320423157926 53.99071283104468]",0.07942085,[0.19320494]
628,47,"[111.0 40.93587480838928 109.43542273040624 45.43514892240621
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.36071003405084 46.430042742017456 112.31320423157926 53.99071283104468]",0.07942085,[0.19320494]
628,48,"[111.0 40.93587480838928 109.43542273040624 45.43514892240621
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.36071003405084 46.430042742017456 112.31320423157926 53.99071283104468]",0.07942085,[0.19320494]
628,49,"[111.0 40.93587480838928 109.43542273040624 45.43514892240621
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.36071003405084 46.430042742017456 112.31320423157926 53.99071283104468]",0.07942085,[0.19320494]
628,50,"[111.0 40.93587480838928 109.43542273040624 45.43514892240621
 111.22351377458534 43.8469859383912 106.75962854066337 47.825824441814774
 98.36071003405084 46.430042742017456 112.31320423157926 53.99071283104468]",0.07942085,[0.19320494]
