minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,distance_to_goal,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_player_1,distance_player_2,distance_player_3,distance_player_4,distance_player_5,distance_player_6,distance_player_7,distance_player_8,distance_player_9,distance_player_10,angle_player_1,angle_player_2,angle_player_3,angle_player_4,angle_player_5,angle_player_6,angle_player_7,angle_player_8,angle_player_9,angle_player_10,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4,teammates_player_5,teammates_player_6,teammates_player_7,teammates_player_8,teammates_player_9,teammates_player_10,pred_base_xg,pred_improved_xg,pctge_improvement
1,1,1,0.027238814,1.317927,-0.46084648,31.931175,1,106.0,41.0,77.4,55.2,14.0356688476182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7615773105863923,1.43178210632764,2.7730849247724105,3.354101966249682,4.052159917870959,4.080441152620632,6.718630812896333,7.864477096412705,8.953770155638345,10.37545179739176,62.71579270637722,163.8196261430132,60.27337739571979,14.390463248740916,109.83679044342784,68.81165425097271,89.81772347968408,82.3470455732526,114.34207895449798,120.40370491962658,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,,,
80,2,1,0.1314525,1.507728,0.0,25.1,1,109.3,40.5,84.2,40.5,10.711675872616762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50111097397076,6.484597134749387,6.68505796534331,6.691038783328042,7.397972695272669,7.517978451684999,7.802563681252461,8.004998438475797,9.36055553906924,9.404786015641188,86.05154332391422,29.24047783310713,65.36400932387438,77.86225113594529,6.6595718071092325,58.71411367800569,175.85577262958483,15.670043447945622,15.372394412741915,47.2446394390205,0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,,,
42,1,1,0.06543142,1.175015,0.5326436,33.083076,1,108.2,37.7,79.7,20.9,12.02206305090769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.655294535724683,1.8681541692269377,2.262741699796944,2.475883680627989,2.475883680627989,2.6683328128252755,3.1400636936215247,4.280186911806549,4.652956049652746,6.700746227100381,36.04642470208036,85.50542022722618,146.02953122398048,32.33389173440289,57.666108265597096,1.9650855679359829,20.19187826970216,41.56511214461092,2.3769894328657046,26.695463818130296,0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,0,,,
61,2,1,0.087692775,0.659207,-1.0526913,23.827085,1,112.4,46.9,100.6,67.6,10.264989040422783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7262676501632046,3.11448230047949,3.807886552931948,5.303772242470444,6.2513998432351086,7.061161377563891,8.229823813423963,8.637129152675666,8.848163651289468,9.476286192385704,122.2281628276457,126.70860247743109,145.9074497612832,134.3972221173137,139.58852198897978,119.97136890119506,69.73528136013455,179.9483006867067,76.64461488111604,139.51114758697665,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0,,,
21,1,1,0.02149553,1.500389,1.3946742,11.985408,1,90.5,29.0,90.9,14.0,31.48412298286233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.883646178829909,6.095900261651264,11.44377560073598,11.940268003692385,12.706297651164958,13.724430771438213,14.101418368376988,14.262187770464951,15.426276284314373,15.476756766196203,148.9307971130523,159.44046070922232,164.56356614424325,91.17364851711208,124.484549859564,88.24943519338856,118.2880819326175,39.26561573173574,66.20580207094153,166.24609078261696,0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,,,
36,1,1,0.011418894,0.486989,0.0,12.4,1,89.5,36.1,78.1,39.1,30.748333288163767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5132745950421551,1.7464249196573003,7.218032973047436,8.595929269136644,10.090094152187085,10.15480181982888,11.73456432936477,12.015406776301829,13.418271125595874,17.255723688098396,179.69215974538827,106.34257461667524,107.66264803403266,53.46437054947138,167.59478187524513,140.58819844563084,177.1119022410139,164.77698114109438,108.32340680922417,143.2259940597172,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,,,
89,2,1,0.045113288,2.022539,0.7633753,32.110435,1,110.9,55.5,87.7,33.3,17.973869922751746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.080441152620634,9.087353850269064,11.011357772772625,14.179210133149168,14.512063946937385,16.660432167263853,18.309833423600555,19.30233146539557,21.114923632350653,22.508887133752303,113.5555689443804,125.55643575080488,135.9252998236719,138.19376263142954,179.327823626427,100.44534874533996,114.59092213092543,126.07254112808307,143.60234280472065,136.2258196151852,0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,,,
11,1,1,0.08374546,1.197178,1.0450983,30.289932,1,109.6,35.4,94.4,9.2,11.371895180663603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999999999971,2.325940669922603,3.1256999216175587,3.397057550292604,3.613862199918532,4.876474136094634,5.000999900019995,5.869412236331681,8.130190649671144,8.700000000000003,76.99027754549864,40.67647974678607,121.2125545512348,23.52576883904651,128.2809483188534,39.32139293178432,115.00593802951757,122.68055474336344,171.9294930876246,113.86017519134236,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,,,
70,2,1,0.044501867,1.265092,0.045595754,26.327362,1,108.5,40.6,82.2,39.4,11.515641536623134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7000000000000028,1.456021977856104,1.780449381476481,4.883646178829911,5.456189146281492,6.0728905802755895,6.449806198638836,7.641989269817113,7.924645102463585,9.044888059008802,177.01336300952474,108.93203289139826,131.14386357784412,44.50291593152402,44.27134788504645,20.22809638941523,32.73151828741745,39.89226661286339,82.81112614743193,177.27604385297542,0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,,,
76,2,1,0.046084717,4.420056,-0.10052954,57.791782,1,105.6,26.3,41.1,24.6,19.875864761061344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6031219541881374,2.200000000000003,3.811823710509195,10.607544484940902,13.89280389266328,16.60662518394391,18.134221791960087,18.97630100941699,19.46175737183053,19.870832896484234,129.99666375748814,136.4270018675147,131.91301340951347,179.33689659341573,154.22558206359892,176.54179929939738,162.9651738877246,152.96278820927955,155.92110648039474,121.07546540904484,0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,,,
