,shot_duration,minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_to_goal
1635,0.321701,62,2,1,0.036292873,1.8287,-1.996726,23.71919,1,96.9,47.6,105.3,68.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.318100254748515
1636,1.141037,92,2,1,0.050600313,1.680944,0.7548119,43.93188,1,103.3,38.8,72.6,9.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.74305826305338
1637,2.814914,59,2,1,0.06744341,1.0438,-0.7149754,34.167236,1,108.2,47.4,83.1,66.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.928388277184116
1638,2.52473,91,2,1,0.13297534,1.1465,-0.35098198,27.04903,1,108.4,42.4,83.3,52.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84567431596867
1639,0.4229,26,1,1,0.044922426,1.6038,-2.3211212,16.131956,1,103.3,51.3,116.4,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.163829001457042
1640,1.229214,60,2,1,0.006412732,3.799223,-0.4346702,27.783628,1,83.6,58.1,58.1,76.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.651814227657795
1641,0.530573,49,2,1,0.20254987,1.3103,-0.6578886,30.583166,1,112.5,37.5,88.2,60.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.905694150420948
1642,1.313057,91,2,1,0.08017528,1.6088,1.2324727,34.347054,1,108.0,42.2,100.0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.2
1643,1.564987,92,2,1,0.0116561195,2.45616,-0.09580965,38.677383,1,99.2,20.9,63.2,25.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.239157211220025
1644,0.592,60,2,1,0.012602328,4.5303,-0.0045923903,87.10092,1,109.8,58.6,10.3,56.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21320343559643
1645,1.035487,0,1,1,0.13567977,1.3607,0.31982005,32.761257,1,107.6,46.8,76.9,34.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.142135623730953
1646,1.496342,68,2,1,0.08468117,1.4762,-0.7817618,38.89113,1,108.7,37.7,81.7,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.5316954521007
1647,1.052871,84,2,1,0.057573523,1.9518,-1.6948104,36.37939,1,106.5,27.0,114.6,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.741664813991314
1648,0.771577,9,1,1,0.057331704,1.691745,-0.8089484,33.031048,1,115.2,29.2,89.9,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.818629362155324
1649,0.967199,62,2,1,0.0066462327,1.395889,-1.6163673,30.731905,1,86.5,26.6,83.7,51.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.08060420780117
1650,1.2109,22,1,1,0.025351632,1.459972,-1.314088,8.271034,1,95.0,53.5,90.9,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.412145290350743
1651,0.761892,57,2,1,0.06448682,1.094525,-1.4143473,34.015438,1,106.8,43.4,101.6,77.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.630847369110992
1652,1.22548,58,2,1,0.09506721,0.9292,0.73113835,22.165062,1,110.0,39.1,94.0,22.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04041831797859
1653,1.102081,78,2,1,0.06700723,1.2192,-0.48447794,25.765093,1,103.6,38.0,81.1,50.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.521501142450713
1654,0.685466,27,1,1,0.14998084,1.8338,-0.96760654,45.657093,1,115.1,31.7,92.1,69.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.638464608017195
1655,0.7035,72,2,1,0.16498561,1.694628,0.9502437,38.350098,1,114.9,37.3,92.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7706152185013995
1656,1.069046,13,1,1,0.008237251,1.233399,3.0771658,6.2128897,1,95.6,20.9,92.6,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.98661001142268
1657,0.148277,1,1,1,0.023486136,1.397861,-2.0054665,9.2612095,1,92.6,48.8,96.5,57.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.778464170278447
1658,0.804167,68,2,1,0.41498032,1.202407,-1.5116936,33.85912,1,116.2,36.5,114.2,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166236541235794
1659,1.80926,37,1,1,0.038525812,1.852414,1.0473745,46.414223,1,107.9,42.5,84.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.355565547557903
1660,0.163562,19,1,1,0.063686594,1.366348,-0.93624353,26.821074,1,107.4,26.8,87.6,50.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.248287590894655
1661,0.606248,28,1,1,0.16506566,1.797058,-1.5393107,38.118893,1,111.6,39.2,110.4,77.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.438009243891601
1662,0.726534,56,2,1,0.044784226,1.519861,1.2408493,30.864866,1,107.4,38.2,97.4,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.727922061357848
1663,0.228057,72,2,1,0.4934683,2.999813,0.7918331,54.943333,1,105.8,36.9,34.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.534441853748636
1664,0.637893,55,2,1,0.07576614,1.890376,0.83127415,35.46336,1,115.3,48.8,91.4,22.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.976472322419383
1665,1.944802,52,2,1,0.021018455,2.751164,0.2341455,80.59932,1,103.0,65.7,22.5,49.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.813795611706134
1666,0.056154,71,2,1,0.04311748,2.237526,-1.337716,48.922897,1,113.1,30.1,101.8,77.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.067311216671262
1667,0.355884,23,1,1,0.17160995,1.642059,0.69473827,28.897924,1,112.2,42.4,90.0,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.160882305241262
1668,0.59773,89,2,1,0.15246506,1.326904,1.5385494,27.914513,1,113.5,43.5,112.6,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3824115301167
1669,0.507209,89,2,1,0.10319659,1.321665,1.126246,32.786736,1,111.1,34.8,97.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.307764064044159
1670,1.105238,91,2,1,0.06772948,1.387952,-0.6294423,34.143375,1,108.5,38.3,83.2,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.624973118248489
1671,1.516979,66,2,1,0.036152728,3.457903,-0.5963872,62.849743,1,106.6,24.5,54.9,64.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48926548219824
1672,0.486757,37,1,1,0.25887793,1.398179,0.93952703,32.702446,1,113.2,41.3,91.8,16.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.923149572268387
1673,0.627875,53,2,1,0.15527995,1.493561,1.1737169,36.97702,1,113.4,43.3,95.7,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3790243257493
1674,1.300241,54,2,1,0.07413368,1.211989,1.5105518,31.55725,1,111.2,37.4,109.3,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.176055797563567
1675,1.297445,26,1,1,0.06822279,1.330874,0.75143063,29.149614,1,110.6,42.1,89.3,22.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.631718434422806
1676,0.274282,41,1,1,0.039323296,1.261424,1.5096482,14.727526,1,94.5,36.2,57.0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.781582573612503
1677,0.056254,57,2,1,0.05846631,1.158729,-0.02083032,9.602083,1,109.0,25.8,95.7,25.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.962182495454165
1678,0.917957,55,2,1,0.10517355,0.912876,1.0047048,24.052027,1,111.6,34.6,98.7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.985990186255947
1679,0.107443,87,2,1,0.07691218,1.286976,-0.68439174,21.037586,1,108.8,49.1,92.5,62.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.430869689661815
1680,0.58611,53,2,1,0.0865803,1.134363,1.0601671,24.75823,1,112.3,40.4,100.2,18.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7103826104804964
