minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_to_goal,distance_player_1,distance_player_2,distance_player_3,distance_player_4,angle_player_1,angle_player_2,angle_player_3,angle_player_4,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4
79,2,1,0.028840441,1.250328,-1.9543239,6.146544,1,94.6,47.7,97.6,51.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.541476974727694,5.544366510251643,5.777542730261728,7.244308110509936,8.705170877128149,65.88214615414259,173.40563515167062,156.79514902095795,108.83959324401425,1,0,0,1
64,2,1,0.15289378,1.566084,-0.92866415,29.220028,1,112.3,42.1,94.5,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.981227975693969,1.3152946437965882,1.4317821063276333,3.901281840626231,4.301162633521311,83.49104355949757,93.16036162604578,106.72391941744374,76.07710115081197,0,0,0,0
76,2,1,0.13929951,2.079725,1.0851166,42.629803,1,119.3,45.6,97.8,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.643580423808987,1.4866068747318424,4.220189569201832,4.609772228646438,5.020956084253278,102.5288077091516,119.20180960321848,79.14358665193777,128.68191310620054,0,0,1,0
21,1,1,0.07015041,3.029962,0.7080708,58.58208,1,112.9,54.5,57.2,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14496825639493,2.8319604517012644,10.316006979447039,10.610372283760832,13.10038167382921,106.04867484845201,137.58422656399884,177.8187405687363,64.34844394208461,0,0,0,0
23,1,1,0.4412091,2.079354,-1.3120254,38.68811,1,117.9,38.7,107.8,75.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4698178070456875,1.7088007490635055,1.7999999999999972,2.507987240796891,2.90688837074972,78.79656513477046,121.75948008481281,117.1855588249119,148.3245312618908,0,0,0,1
65,2,1,0.032941185,1.753569,1.5160209,38.35753,1,116.4,50.7,114.2,14.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28937553631732,1.9000000000000057,5.2773099207835035,7.201388754955537,8.161494961096283,161.40455921724342,171.5448437756706,135.90700772390556,168.44249998042815,0,0,1,0
8,1,1,0.14003867,1.316717,1.3179376,30.778727,1,112.3,39.6,104.2,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.710382610480496,0.42426406871192446,2.102379604162865,2.184032966784159,2.879236009777596,137.97373108248013,90.24742008857399,108.91912698340316,107.34940574718283,0,1,0,0
91,2,1,0.10216055,1.198059,-0.4482642,14.536161,1,103.5,33.8,89.5,35.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.626400653565096,1.9798989873223412,3.1016124838541623,3.3837848631377327,3.5468295701936428,155.59409022030877,67.55829951369672,76.43439567463932,89.09265589626095,0,0,0,1
42,1,1,0.0717521,1.636363,-1.5237722,34.037624,1,112.6,35.0,108.5,72.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.930845424706447,0.943398113205658,1.2083045973594584,2.60768096208106,4.1725292090050115,156.05132056468523,80.39801742381486,51.55535728840308,78.07491542552246,0,0,1,0
53,2,1,0.020471117,2.683536,0.8179681,56.45706,1,101.8,42.3,65.0,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.344754018519847,0.5830951894845285,2.2090722034374553,2.2803508501982828,3.2449961479175853,113.76126115059674,167.60307571078854,120.67248826962172,63.51242785549677,0,0,0,1
35,1,1,0.043170255,2.235086,-0.10945095,27.46434,1,112.0,52.8,85.3,57.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.094369811290564,2.6419689627245773,5.57314991723711,6.45368112010502,10.458011283222062,177.47050579516224,48.70130819251933,160.52342450106804,141.95693427049363,0,0,0,0
30,1,1,0.044889845,1.800063,1.4810381,40.161674,1,111.6,47.5,108.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26099462747408,1.1401754250991456,1.2041594578792318,1.4866068747318515,1.8788294228055948,153.49481899915966,96.60616095953223,174.0339887099916,163.44082394157712,0,1,1,0
51,2,1,0.047430225,2.079039,0.9553407,36.374306,1,111.9,46.3,89.5,17.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.261578825892236,0.860232526704265,0.943398113205658,1.3038404810405264,5.5326304774492225,87.66269414087606,159.88036685918178,146.52372170389708,45.899187284475936,0,0,0,1
